Date,Buy_Hold,Baseline_ML,Adaptive,Regime_Aware
2019-09-24,-0.0078467821515781,-0.0078467821515781,-0.0078467821515781,-0.00941613858189372
2019-09-25,0.0059150032593429,0.0059150032593429,0.0059150032593429,0.00709800391121148
2019-09-26,-0.0020829791234305,-0.0020829791234305,-0.0020829791234305,-0.0020829791234305
2019-09-27,-0.0053875662740965,-0.0053875662740965,-0.0053875662740965,-0.0053875662740965
2019-09-30,0.0046378622306693,0.0046378622306693,0.0046378622306693,0.0046378622306693
2019-10-01,-0.0118950570011185,-0.0118950570011185,-0.0118950570011185,-0.0118950570011185
2019-10-02,-0.0176642678647893,-0.0176642678647893,-0.0176642678647893,-0.0
2019-10-03,0.0081926255101003,0.0081926255101003,0.0,0.0
2019-10-04,0.0135323186783149,0.0135323186783149,0.0,0.0
2019-10-07,-0.0043151338142858,-0.0043151338142858,-0.0,-0.0
2019-10-08,-0.015524522142547,-0.015524522142547,-0.0,-0.0
2019-10-09,0.0094965827543198,0.0094965827543198,0.0,0.0
2019-10-10,0.0067630738763071,0.0067630738763071,0.0,0.0
2019-10-11,0.0103670879026065,0.0103670879026065,0.0103670879026065,0.0
2019-10-14,-0.0011139739229345,-0.0,-0.0,-0.0
2019-10-15,0.0099002298734112,0.0099002298734112,0.0099002298734112,0.0
2019-10-16,-0.0016054773899,-0.0016054773899,-0.0016054773899,-0.0
2019-10-17,0.0029490803344287,0.0029490803344287,0.0029490803344287,0.0
2019-10-18,-0.0043772338217129,-0.0043772338217129,-0.0043772338217129,-0.0
2019-10-21,0.0067791394161165,0.0067791394161165,0.0067791394161165,0.0
2019-10-22,-0.0032667889950833,-0.0032667889950833,-0.0032667889950833,-0.0
2019-10-23,0.0029095988444876,0.0029095988444876,0.0029095988444876,0.0
2019-10-24,0.0016338262749397,0.0016338262749397,0.0016338262749397,0.0
2019-10-25,0.0040950614922161,0.0040950614922161,0.0040950614922161,0.0
2019-10-28,0.0056367347595498,0.0056367347595498,0.0056367347595498,0.0
2019-10-29,-0.0002967089580837,-0.0002967089580837,-0.0002967089580837,-0.00035605074970044003
2019-10-30,0.0030673072508096,0.0030673072508096,0.0030673072508096,0.00368076870097152
2019-10-31,-0.0026635551143316,-0.0026635551143316,-0.0026635551143316,-0.0026635551143316
2019-11-01,0.0092639299319656,0.0092639299319656,0.0092639299319656,0.0092639299319656
2019-11-04,0.0040177694443348,0.0040177694443348,0.0040177694443348,0.0040177694443348
2019-11-05,-0.0011064454530667,-0.0011064454530667,-0.0,-0.0
2019-11-06,0.000228030682553,0.000228030682553,0.000228030682553,0.000228030682553
2019-11-07,0.0035171053767228,0.0035171053767228,0.0035171053767228,0.0035171053767228
2019-11-08,0.002466072365199,0.002466072365199,0.002466072365199,0.002466072365199
2019-11-11,-0.0019100278520451,-0.0019100278520451,-0.0019100278520451,-0.0019100278520451
2019-11-12,0.0021077430033948,0.0021077430033948,0.0021077430033948,0.00252929160407376
